LearningPeriod,ΔvmThresh,Δ_%_vmThresh,Δ_fricExp,Δ_%_fricExp,Δ_mu_scale,Δ_%_mu_scale,Δ_stiff_scale,Δ_%_stiff_scale,Δ_gamma0,Δ_%_gamma0,Δ_melt_flux,Δ_%_melt_flux
2030 - 2045,2950.94,69.44264084584019,0.0109701,-935.2958862945393,0.044943,98.3005802463506,0.0399945,117.00471292415,0.364371,-1085.088085775083,0.529161,14.351070041873465
2045 - 2060,49.035,1.1539094117497706,0.000996436,-84.9549042332174,0.0113058,24.728301924109132,0.00455269,13.318977907333446,-0.101516,302.3131995060324,0.778981,21.12628917911938
2060 - 2075,857.073,20.168967748335884,0.00453659,-386.78399518053124,0.0132468,28.973843956238994,0.00461352,13.496921544098662,-0.188508,561.3718130972885,1.47982,40.13325307368354
2075 - 2090,346.907,8.1635548678585,0.00717519,-611.7476156450758,-0.00394326,-8.624794082603545,0.00473843,13.862359525517402,-0.00993051,29.572822020555655,1.29808,35.204560661748154
2090 - 2105,173.415,4.080858624313188,0.0113467,-967.4035195076357,0.0291168,63.685028509286,-3.90227e-6,-0.011416155941795226,0.138624,-412.81901817868373,0.987398,26.77865961213563
2105 - 2120,-222.925,-5.245962438712524,0.00481601,-410.60649414299473,0.00548521,11.997406809609693,0.00696103,20.364614241251164,-0.083712,249.29241123896992,-0.215089,-5.833297228719649
2120 - 2135,-813.782,-19.150222093352408,0.00622987,-531.1504961215596,0.00188271,4.117917309436569,-0.00312091,-9.130283513368878,-0.00883196,26.301369833012178,-0.526114,-14.268448694645041
2135 - 2150,466.664,10.981714705576307,-0.00203925,173.86406289537675,0.00532965,11.657163052065735,0.00929686,27.19811797538172,-0.0113802,33.890008207614194,-0.0742345,-2.0132717750040237
2150 - 2165,1206.95,28.402345560720498,0.00202943,-173.0269091770661,-0.00801462,-17.529787012027988,-0.00559898,-16.379904928579155,0.156246,-465.2964528513078,-0.665101,-18.03781979876641
2165 - 2180,-1376.14,-32.38393538472867,0.0126357,-1077.299503029588,-0.00801932,-17.54007180354979,-0.00701544,-20.523790131923622,-0.00325509,9.69358497443254,-0.167603,-4.545476177254234
2180 - 2195,-124.64,-2.9330672920727356,-0.00697696,594.8469523347222,-0.0129844,-28.399723173773104,-0.00845712,-24.741435059593258,-0.202409,602.7703396244209,-0.0283229,-0.7681288208917393
2195 - 2210,94.4463,2.222545687978097,-0.00998107,850.9735618390196,-0.0255264,-55.832058921768635,0.00454936,13.30922008054751,-0.00825645,24.58750327808078,0.758158,20.56157370968227
2210 - 2225,689.765,16.231811480718967,-0.0300118,2558.765751668379,-0.00570419,-12.476361700924313,-0.00105471,-3.085571854416659,-0.0490562,146.08819773521634,0.347847,9.433755486192275
2225 - 2240,81.0382,1.9070220955478314,-0.00855245,729.1709084639662,0.00679735,14.867348812557408,0.00236253,6.911630697100697,-0.0172701,51.42983566087461,-0.297147,-8.058754540427284
2240 - 2255,-261.504,-6.153803585434134,-0.00214106,182.54377289202677,-0.00264107,-5.776617846912591,-0.00613826,-17.957596440955115,-0.00590999,17.59979671023824,-0.109555,-2.9711664969430482
2255 - 2270,-308.262,-7.254131200095666,-0.00215216,183.49054190338873,-0.00262758,-5.747109355308465,-0.000809913,-2.369413087629944,0.0123863,-36.88611892547915,-0.303816,-8.239628554406867
2270 - 2285,498.216,11.724203060320512,0.000709491,-60.49027612533568,-0.00129089,-2.8234628985913615,-0.00287291,-8.404759785035326,-0.00699449,20.829425033596632,-0.00847936,-0.22996379098919822
2285 - 2300,-57.7269,-1.3584520945635936,-0.000763606,65.10404746066446,-0.00163568,-3.577603824194327,-0.00781482,-22.86238393793684,-0.00817648,24.349368810220792,-0.0967243,-2.623205886387212
2030 - 2300,4249.47,100.0,-0.0011729,100.0,0.04572,100.0,0.034182,100.0,-0.0335799,100.0,3.68726,100.0
