LearningPeriod,ΔvmThresh,Δ_%_vmThresh,Δ_fricExp,Δ_%_fricExp,Δ_mu_scale,Δ_%_mu_scale,Δ_stiff_scale,Δ_%_stiff_scale,Δ_gamma0,Δ_%_gamma0,Δ_melt_flux,Δ_%_melt_flux
2015 - 2030,-308.5449004070979,3.6917791962069977,-0.004997172408772427,3.3068828576583527,-0.019908425234796856,13.98690429588062,-0.009780054229121787,8.457082356249867,-0.06476785643307181,2.838889341312652,-0.10973774346791032,0.9355633035773492
2030 - 2045,-15.533771231443097,0.18586355955070305,-0.008284242140834508,5.482103894619527,-0.004538452436183782,3.1885445045325573,-0.005312490570675843,4.5938569685253,-0.21079103995498016,9.239342932257994,-0.19135800748572862,1.6314125294701263
2045 - 2060,-122.37883795698872,1.4642784483862594,-0.001783879833157892,1.1804839132699458,-0.0017786085382408279,1.2495828831669231,-0.003714310045947855,3.2118662350247456,-0.4559336728474659,19.984376749132014,-0.36495297460141174,3.111387201690735
2060 - 2075,-167.09800982567685,1.9993490593689784,-0.003729337323342574,2.4678919709349314,-0.0031494611933725325,2.212691952063434,-0.005299379745709487,4.582519676941713,-0.5539298137560038,24.279720384635848,-1.6943561221808245,14.445143129515317
2075 - 2090,-321.9166741181107,3.8517741789066666,-0.0017055637420024805,1.1286581770063737,-0.004946370553562618,3.4751322984461224,-0.00561054303947961,4.851591150371794,-0.0411684127775096,1.8044841171114323,-1.2159822371719287,10.366791980123159
2090 - 2105,-538.5956932226327,6.444366355699005,-0.005804704781404185,3.8412680542491855,-0.016846323601903995,11.835587856814755,-0.011258472028575162,9.735510961450517,-0.06668117827099462,2.9227536108950907,-0.4029795712123594,3.435580931440105
2105 - 2120,-247.5672398252209,2.962173688313255,-0.006491588873916404,4.295814154507684,-0.006088639958951064,4.277647447929451,-0.003573115469965027,3.089771394917731,-0.11835880668410703,5.187875178379745,-0.2957075293806639,2.5210388362046947
2120 - 2135,-396.5906324710086,4.745257641384644,-0.0035847663663952645,2.37222202398552,-0.002964951751421502,2.0830626179589604,-0.00619757192249315,5.359211199589935,-0.12181791783945883,5.339494119165465,-1.9617717449463434,16.724980818503905
2135 - 2150,-293.6879151569701,3.5140134674835353,-0.004026598103036683,2.6646045308015784,-0.002900243466792074,2.0376010320430393,-0.004860380356879357,4.2029048099172845,-0.11972463056426774,5.247741647165928,-0.7448084474611996,6.34982486078621
2150 - 2165,-964.5729348375135,11.541238534031988,-0.006614584871892759,4.377206855018592,-0.008935864913818176,6.277999684879028,-0.011969218972690931,10.350113426837842,-0.08081313741929919,3.542182296781042,-1.841350399239058,15.69833503145906
2165 - 2180,-1686.3607252686888,20.177521763066782,-0.014947945572608937,9.891814996115672,-0.016750951656233498,11.768583145951252,-0.011941249949136618,10.325927841555666,-0.12496497727411537,5.477435282846805,-0.2846747999055168,2.4269798870313672
2180 - 2195,-718.8609420650901,8.601263113991212,-0.01937523875419557,12.821579817180359,-0.022135745230549175,15.551734826144648,-0.012300671542417041,10.636729596206063,-0.16275661130480001,7.133909233800607,-0.5127087975750904,4.371071622889605
2195 - 2210,-616.1866284661482,7.372751819754029,-0.02444300342637816,16.175177161884342,-0.016110067784134666,11.318322450888738,-0.008654141269593671,7.48347439849999,-0.041753400089792836,1.8301251424147804,-0.634782230222644,5.411802189398558
2210 - 2225,-1071.700150940589,12.823029376256546,-0.024369798835432555,16.126733964992646,-0.006838904376403651,4.804754764542936,-0.006180774786566118,5.3446862533518,-0.05275685620373444,2.3124260243615202,-0.25181401133188075,2.1468269793392407
2225 - 2240,-196.088718925399,2.3462266016535214,-0.009771407525048945,6.466236782836149,-0.000960969906934464,0.6751409999029391,-0.0004269119406018068,0.36916251750274137,-0.019607326893045063,0.8594237078977319,-0.2932428581212534,2.500026412285476
2240 - 2255,-232.93470873073238,2.787093582269661,-0.005546660638909597,3.6705071355671497,-0.0034203744201466157,2.403025307448786,-0.003681773863482507,3.1837313015958406,-0.016990439254671863,0.7447209088068378,-0.27297581148760486,2.3272407826276447
2255 - 2270,-208.12521835365624,2.490244856778684,-0.003033344705043191,2.007318296416391,-0.0025548941473791803,1.794971701882213,-0.0017567713770614696,1.519128613077788,-0.012090636599560334,0.5299539194669092,-0.27899691302214435,2.3785733639694113
2270 - 2285,-176.9217469236246,2.1168913302000933,-0.0017905536296150965,1.1849003034391319,-0.0008235531656560074,0.57859721071593,-0.001733793363061592,1.4992588912718101,-0.010719286543929563,0.4698452286665325,-0.15906276720880896,1.3560811737444227
2285 - 2300,-73.95519998670716,0.8848834266974412,-0.0008138941524772625,0.5385951095164632,-0.000683377375996691,0.48011501880767793,-0.0013917359331501317,1.2034724071115734,-0.0058245472391978415,0.2553001749010725,-0.21832743671167165,1.8613389659436177
2015 - 2300,-8357.620648713299,100.0,-0.1511142856844645,100.0,-0.14233617971247736,100.0,-0.11564336040660916,100.0,-2.281450547950006,100.0,-11.729590402734043,100.0
