Analysis Year,vmThresh,fricExp,mu_scale,stiff_scale,log(gamma_0),melt_flux
2015,"(109048.026, 143137.364)","(0.130, 0.302)","(0.834, 1.067)","(0.847, 1.053)","(9.315, 11.847)","(19.930, 50.410)"
2030,"(109324.065, 143104.858)","(0.134, 0.301)","(0.847, 1.060)","(0.851, 1.047)","(9.323, 11.790)","(20.002, 50.373)"
2045,"(109259.317, 143024.577)","(0.141, 0.300)","(0.849, 1.058)","(0.852, 1.043)","(9.355, 11.611)","(20.111, 50.290)"
2060,"(109399.580, 143042.460)","(0.142, 0.299)","(0.851, 1.058)","(0.854, 1.041)","(9.517, 11.317)","(20.204, 50.018)"
2075,"(109555.300, 143031.083)","(0.145, 0.299)","(0.851, 1.055)","(0.857, 1.039)","(9.717, 10.963)","(21.265, 49.385)"
2090,"(109834.116, 142987.982)","(0.145, 0.297)","(0.855, 1.054)","(0.859, 1.034)","(9.744, 10.949)","(22.051, 48.955)"
2105,"(110318.475, 142933.745)","(0.149, 0.295)","(0.858, 1.040)","(0.864, 1.028)","(9.775, 10.914)","(22.166, 48.667)"
2120,"(110543.784, 142911.487)","(0.153, 0.292)","(0.862, 1.038)","(0.865, 1.026)","(9.817, 10.837)","(22.182, 48.387)"
2135,"(110863.890, 142835.003)","(0.155, 0.291)","(0.863, 1.035)","(0.866, 1.021)","(9.882, 10.780)","(22.988, 47.231)"
2150,"(110978.952, 142656.377)","(0.157, 0.289)","(0.864, 1.034)","(0.868, 1.018)","(9.967, 10.745)","(23.533, 47.032)"
2165,"(111368.268, 142081.120)","(0.159, 0.284)","(0.869, 1.030)","(0.871, 1.010)","(10.011, 10.709)","(24.684, 46.341)"
2180,"(112265.702, 141292.193)","(0.165, 0.276)","(0.876, 1.020)","(0.877, 1.003)","(10.069, 10.642)","(24.798, 46.170)"
2195,"(112739.931, 141047.561)","(0.174, 0.265)","(0.886, 1.008)","(0.880, 0.994)","(10.170, 10.580)","(24.863, 45.723)"
2210,"(113044.331, 140735.774)","(0.185, 0.251)","(0.893, 0.999)","(0.884, 0.989)","(10.198, 10.566)","(25.070, 45.295)"
2225,"(113524.455, 140144.198)","(0.196, 0.238)","(0.897, 0.996)","(0.887, 0.986)","(10.226, 10.541)","(25.219, 45.192)"
2240,"(113505.706, 139929.361)","(0.200, 0.232)","(0.898, 0.996)","(0.887, 0.985)","(10.235, 10.531)","(25.233, 44.913)"
2255,"(113900.056, 140090.775)","(0.203, 0.230)","(0.900, 0.995)","(0.888, 0.983)","(10.249, 10.528)","(25.322, 44.729)"
2270,"(113899.831, 139882.426)","(0.204, 0.228)","(0.900, 0.992)","(0.890, 0.983)","(10.254, 10.521)","(25.504, 44.631)"
2285,"(114156.263, 139961.936)","(0.205, 0.227)","(0.902, 0.993)","(0.889, 0.980)","(10.260, 10.516)","(25.500, 44.468)"
2300,"(114135.453, 139867.170)","(0.205, 0.226)","(0.900, 0.991)","(0.890, 0.980)","(10.264, 10.515)","(25.689, 44.440)"
