Latest_calibration_year,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
2030.0,2029.607,0.011,0.012,0.016,0.283,0.473
2045.0,4980.547,0.022,0.057,0.056,0.648,1.002
2060.0,5029.582,0.023,0.068,0.061,0.546,1.781
2075.0,5886.656,0.028,0.081,0.066,0.358,3.261
2090.0,6233.563,0.035,0.077,0.070,0.348,4.559
2105.0,6406.978,0.046,0.106,0.070,0.486,5.547
2120.0,6184.052,0.051,0.112,0.077,0.403,5.331
2135.0,5370.270,0.057,0.114,0.074,0.394,4.805
2150.0,5836.935,0.055,0.119,0.083,0.382,4.731
2165.0,7043.882,0.057,0.111,0.078,0.539,4.066
2180.0,5667.738,0.070,0.103,0.071,0.535,3.898
2195.0,5543.099,0.063,0.090,0.062,0.333,3.870
2210.0,5637.545,0.053,0.065,0.067,0.325,4.628
2225.0,6327.310,0.023,0.059,0.066,0.276,4.976
2240.0,6408.348,0.014,0.066,0.068,0.258,4.679
2255.0,6146.845,0.012,0.063,0.062,0.252,4.569
2270.0,5838.583,0.010,0.060,0.061,0.265,4.266
2285.0,6336.799,0.011,0.059,0.058,0.258,4.257
2300.0,6279.072,0.010,0.057,0.051,0.250,4.160
