LearningPeriod,ΔvmThresh,Δ_%_vmThresh,Δ_fricExp,Δ_%_fricExp,Δ_mu_scale,Δ_%_mu_scale,Δ_stiff_scale,Δ_%_stiff_scale,Δ_gamma0,Δ_%_gamma0,Δ_melt_flux,Δ_%_melt_flux
2030 - 2045,1461.14,69.613525276763,0.0116723,508.7400749218516,0.0267689,72.55974434584705,0.0211114,74.10245121564168,0.21882,-499.33957030931504,0.162928,9.550772936110794
2045 - 2060,131.18,6.2498483958175015,0.00123382,53.77630554943074,0.00184786,5.00880539887995,0.00155614,5.462138943041539,-0.0727829,166.08778971303875,0.404699,23.723251514599355
2060 - 2075,219.558,10.460462424820621,0.00359254,156.58178015196458,0.00901725,24.44213499428833,0.00253566,8.900311537624205,-0.0998661,227.89058828936254,0.854847,50.110669147795264
2075 - 2090,16.355,0.7792073046360448,0.000738022,32.16684510123662,0.000894126,2.423615074100547,0.00207657,7.288880747496529,0.0213795,-48.787250511702936,0.251585,14.747752482613983
2090 - 2105,56.5004,2.691869399661851,0.00248402,108.2666663031652,0.00712047,19.300741920019213,-0.000653619,-2.294241593336553,0.0748313,-170.761984062384,0.425208,24.925439862011718
2105 - 2120,274.895,13.096900470973644,0.00322046,140.3645636535289,0.00312853,8.480188790303426,0.00467291,16.402184613026908,-0.0527655,120.40888595499904,0.18296,10.725026035741706
2120 - 2135,-26.7214,-1.2730962149589653,0.00213361,92.99363801285214,0.000617231,1.6730649107961217,1.10579e-6,0.0038814055997369945,-0.00176123,4.0190549642672915,-0.259303,-15.200218047302045
2135 - 2150,232.647,11.084085075366614,-0.001198,-52.215072882233905,0.00269338,7.300662847846996,0.00242429,8.509417178416284,-0.0165582,37.78524123240404,0.315979,18.522530637464545
2150 - 2165,-40.7133,-1.9397160452014057,0.00203083,88.51430583108029,0.00233837,6.338393883965468,0.00253581,8.900836200352419,0.0233672,-53.323063561962634,-0.365364,-21.417451933558656
2165 - 2180,-14.8228,-0.7062053041449805,0.00129818,56.5814353906483,0.00269075,7.2935457799478645,-0.00291287,-10.224347420826813,-0.00691271,15.774532839101338,-0.146451,-8.584867972638639
2180 - 2195,-201.979,-9.622966140097947,0.00135408,59.01764352224276,-0.0132248,-35.84705732508942,-0.00548452,-19.25100536596477,-0.0689406,157.31974530746936,-0.112895,-6.6178547390605065
2195 - 2210,536.458,25.55863887267968,-0.00499478,-217.6986077667919,-0.00799786,-21.678991440316832,0.00431776,15.15558575291446,-0.0151582,34.59030180888735,0.453055,26.557863597366204
2210 - 2225,-129.963,-6.191890949061155,-0.0146542,-638.7075766117925,0.00226439,6.137850358711272,-0.00275895,-9.684092066941108,-0.0290787,66.35654385541547,0.0179045,1.0495524597301675
2225 - 2240,3.40512,0.16223110170913954,-0.00195958,-85.40854341529003,-3.36102e-6,-0.009110382550833653,0.00175893,6.173963345887698,-0.00514875,11.749246246982398,-0.109672,-6.428916035662585
2240 - 2255,43.1496,2.0557913624045545,-0.00311383,-135.71705933034272,-0.00248126,-6.7256890825308275,-0.00229963,-8.071847404184384,-0.00475033,10.840072486630364,-0.0940595,-5.513714757749515
2255 - 2270,-40.9842,-1.9526246057363523,-0.00176018,-76.71773388491955,-0.00117124,-3.1747627788658117,-0.000595339,-2.089677299843566,-0.00292012,6.663598456960422,0.045292,2.6549947772472136
2270 - 2285,-226.817,-10.806313054129197,-0.000870232,-37.92922309176391,-0.000572638,-1.5521914613075036,0.00177349,6.225049145625139,-0.00537036,12.254946457596855,-0.309811,-18.160963228435918
2285 - 2300,-194.356,-9.259747371502645,0.00108731,47.39055854513342,0.0029621,8.029054165954996,-0.00156963,-5.509488934529405,-0.000206542,0.4713208322493589,-0.0109838,-0.643866736273088
2030 - 2300,2098.93,100.0,0.00229436,100.0,0.0368922,100.0,0.0284895,100.0,-0.043822,100.0,1.70592,100.0
