Latest_calibration_year,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
2015,"(109048.02630973801, 143137.36433540934)","(0.1301455296616056, 0.3023774143746281)","(0.8337355998248666, 1.0666037499499088)","(0.84717034502386, 1.0528237981727882)","(11105.332920944813, 139660.95270106723)","(19.92962222800671, 50.40981560484143)"
2030,"(109324.06480198685, 143104.85792725105)","(0.13422805762189982, 0.30146276992614984)","(0.8466788075382726, 1.059638532428518)","(0.8506882569174097, 1.0465616558372162)","(11197.007467161666, 134378.5454499957)","(20.00211694340334, 50.372572576770146)"
2045,"(109259.31723301545, 143024.57658704824)","(0.14142121051914722, 0.3003716806825628)","(0.8492696970491354, 1.0576909695031969)","(0.8522799086247173, 1.0428408169738481)","(11632.29526904003, 120969.15775438862)","(20.110746837379153, 50.28984446326022)"
2060,"(109399.57977369247, 143042.46028976826)","(0.14179978822750816, 0.29896637855776587)","(0.8509075857625588, 1.0575502496783797)","(0.8538709313924575, 1.0407175296956401)","(16251.41875548382, 96007.1287743625)","(20.203689071261373, 50.017833722541035)"
2075,"(109555.3000885101, 143031.0825947602)","(0.14529819795577986, 0.298735450962695)","(0.8514277489032019, 1.0549209516256501)","(0.857028843992125, 1.0385760625495981)","(21972.193677456406, 73458.2780631949)","(21.26494011848552, 49.38472864758436)"
2090,"(109834.11615261341, 142987.9819847454)","(0.14548994350319852, 0.2972216327681112)","(0.8550459943492936, 1.0535928265181793)","(0.8585369837079522, 1.0344736592259458)","(23207.28357931656, 71837.95784938052)","(22.05133687311687, 48.95514316504378)"
2105,"(110318.47507463886, 142933.74521354822)","(0.14941019530909777, 0.2953371797926062)","(0.8584609706076601, 1.0401614791746416)","(0.8638103639214592, 1.028488567410878)","(25454.21439860647, 67375.90768175182)","(22.166476993770743, 48.6673037144853)"
2120,"(110543.78381156674, 142911.4867106509)","(0.15271993353201263, 0.29215532914160464)","(0.8621730974917442, 1.0377849660997749)","(0.8645489143500878, 1.0256540023695413)","(26432.427927624416, 63658.99060112046)","(22.181567006532756, 48.386686197866645)"
2135,"(110863.89037885523, 142835.00264546837)","(0.15478410909674817, 0.2906347383399449)","(0.8626908454186273, 1.0353377622752362)","(0.8661558487556966, 1.0210633648526568)","(27945.393353697327, 61179.0095927592)","(22.987816243061246, 47.23116368944879)"
2150,"(110978.95215639564, 142656.3765078518)","(0.15677418832946557, 0.28859821946962566)","(0.8644193238536091, 1.0341659972434263)","(0.8676257767375425, 1.0176729124776234)","(31573.347068847495, 59070.83827718676)","(23.53329376427649, 47.031832763202836)"
2165,"(111368.26819633269, 142081.11961295138)","(0.1587321715430991, 0.2839416178113664)","(0.8694855036402656, 1.0302963121162645)","(0.8714239061474113, 1.0095018229148012)","(34005.23088149607, 55909.50727042533)","(24.683751502512347, 46.34094010219963)"
2180,"(112265.70244245997, 141292.19313380995)","(0.1652888125733864, 0.2755503132690449)","(0.8761417490204387, 1.020201605840204)","(0.8768176464729293, 1.0029543132911827)","(35964.171146686596, 53059.783127909264)","(24.797980757188054, 46.170494556969835)"
2195,"(112739.93141216706, 141047.56116145197)","(0.17368623647703402, 0.26457249841849684)","(0.8860338920064256, 1.0079580035956415)","(0.8800181781679751, 0.9938541734438116)","(38076.36327863507, 51017.12813298332)","(24.862787935541817, 45.722592937748516)"
2210,"(113044.33133596778, 140735.77445678654)","(0.18496522421928038, 0.25140848273436495)","(0.8931097962181223, 0.9989238400232037)","(0.8842745865553432, 0.9894564405615859)","(38700.43564799255, 50452.07829061736)","(25.06985521441377, 45.29487798639781)"
2225,"(113524.45503951592, 140144.19800939405)","(0.19550837227895507, 0.23758183195860716)","(0.8965552435805105, 0.9955303830091882)","(0.8871465103667022, 0.9861475895863784)","(39287.549173499414, 49524.1623621248)","(25.218915716635614, 45.19212447728776)"
2240,"(113505.70630785268, 139929.3605588054)","(0.19996497485118467, 0.23226702700578788)","(0.8983108259894675, 0.996324995511211)","(0.8868103173645673, 0.9853844846436419)","(39544.99262882005, 49161.38087129264)","(25.232873658896622, 44.91283956142754)"
2255,"(113900.05594771766, 140090.7754899397)","(0.20303300124622237, 0.22978839276191593)","(0.9001456840192382, 0.9947394791208349)","(0.8883516146418661, 0.9832440080574584)","(39843.98184637673, 48945.962691638684)","(25.32222168701308, 44.72921177805638)"
2270,"(113899.83140754305, 139882.4257314114)","(0.20421594221386968, 0.22793798902452)","(0.899532951711619, 0.9915718526658364)","(0.8898218866554732, 0.9829575086940038)","(40008.94893874749, 48682.37970413492)","(25.503501714859286, 44.63149489288044)"
2285,"(114156.26307024367, 139961.9356471884)","(0.20480731223349324, 0.22673880541452854)","(0.9019875273138616, 0.9932028751024231)","(0.8885017642414423, 0.9799035929169115)","(40091.88820104066, 48379.804501729064)","(25.499513030121015, 44.46844344093336)"
2300,"(114135.45311876612, 139867.17049572416)","(0.2049116269102817, 0.22602922593883967)","(0.9002546354935594, 0.9907866059061243)","(0.8903614413372435, 0.9803715340795626)","(40199.36887903828, 48296.54489576747)","(25.689229336675357, 44.43983231077604)"
