Latest year of calibration,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
2030,-273.2866797246097,-0.00458273426705455,-0.019911934145233567,-0.009549438890360917,-7399.154943343703,-0.14166680768342843
2045,-10.990044689409842,-0.00745161147305487,-0.004273644819712735,-0.005400532994406793,-12680.402418480124,-0.16866929414257825
2060,-186.82807822750328,-0.002177454858349248,-0.0018520474400334774,-0.005000678003403258,-34085.06056879794,-0.3730293601750887
2075,-43.823035491164774,-0.004748227184003667,-0.0008823078898460568,-0.0038827491545808945,-30697.50676498252,-1.4715439427831214
2090,-361.2574810371443,-0.001309387819202562,-0.005132524969881175,-0.006823622790707362,-2063.271499005292,-1.3477991389914763
2105,-615.8139250067652,-0.006276646212333259,-0.01891171342443676,-0.011194911386667533,-3401.6600636804797,-0.3671259837789478
2120,-184.18618465315376,-0.006119795578952342,-0.005959195544438245,-0.0029885828485857746,-4847.021649595845,-0.20162165767963813
2135,-394.2938118977254,-0.0040527768392030206,-0.002144204910564912,-0.00667063566289916,-4208.052080789352,-1.9530603212249034
2150,-248.59044314463608,-0.003883386154439783,-0.002161920479559376,-0.0031718025573322928,-4802.863246036202,-0.7627576045109592
2165,-973.9979461946314,-0.0048029471774959365,-0.008679132138506795,-0.011375608464650855,-3292.8259315606665,-1.9513151978965801
2180,-1739.9523353296863,-0.012378147233959913,-0.015745524714071674,-0.012974540663075018,-4767.045807474655,-0.30990245693114815
2195,-677.3114292576174,-0.019432392292454193,-0.021770655508732917,-0.01045374046365355,-4305.688428775486,-0.49547154210759814
2210,-689.2492288740395,-0.0253979095212485,-0.016617099736802476,-0.00900970324058431,-1036.2560128513687,-0.5543423790908157
2225,-1215.4324291235316,-0.026705191299433398,-0.00979801446377819,-0.007799937216652883,-1628.3417395244414,-0.43314242962705407
2240,-205.0931525096712,-0.009916567776897547,-4.494993620997312e-5,-0.0009902555161574317,-595.3636456008735,-0.19440434128976136
2255,16.901477370436623,-0.005892394640535807,-0.002473507961505611,-0.00169370654352953,-450.71812819574916,-0.19397226537592616
2270,-221.93328129080692,-0.00318728117574495,-0.0031108713986859743,-0.002637539977553241,-443.30152386425016,-0.3178142668713484
2285,-229.8545142370458,-0.0016707554420318065,-0.0006827098755940869,-0.0016433198259143827,-352.937543673228,-0.1582876479405364
2300,-128.73259826548747,-0.001389296147255626,-0.0037562983332768973,-0.0033026555457339596,-188.53895322226435,-0.21450998491118511
Total,8383.725121584193,0.15137490309365098,0.1439082576908709,0.11656396174644915,121246.01094945444,11.610436623012095
