Latest year of calibration,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
2015,"(109048.02630973801, 143137.36433540934)","(0.1301455296616056, 0.3023774143746281)","(0.8337355998248666, 1.0666037499499088)","(0.84717034502386, 1.0528237981727882)","(11105.332920944813, 139660.95270106723)","(19.92962222800671, 50.40981560484143)"
2030,"(109248.70898226339, 143064.76032821008)","(0.13366208689794906, 0.301311237343917)","(0.847918460457264, 1.0608746764370727)","(0.8518422356233807, 1.0479462498819478)","(11165.894170215444, 132322.35900699414)","(20.04500050780611, 50.3835270769574)"
2045,"(109214.1238969464, 143019.18519820372)","(0.13977656391064125, 0.29997410288355436)","(0.8508868585648719, 1.0595694297249678)","(0.8533410974578968, 1.0440445787220574)","(11557.716946193179, 120033.77936449175)","(20.1504235003927, 50.3202807754014)"
2060,"(109421.96893765165, 143040.20216068145)","(0.14028062733967828, 0.2983007114542421)","(0.8526194289260535, 1.0594499526461159)","(0.8543714035574842, 1.0400742068182414)","(14309.379977167993, 88700.38182666864)","(20.340610103421582, 50.1374380182552)"
2075,"(109505.23024469148, 143079.6404322301)","(0.14487638049450932, 0.29814823742506946)","(0.8524711791086186, 1.058419394938835)","(0.855940268769524, 1.0377603228757004)","(18006.434327000465, 61699.929411518606)","(21.596675240011734, 49.921959212062234)"
2090,"(109861.10437246996, 143074.25707897145)","(0.14531821981567167, 0.29728068892702925)","(0.8562771773625144, 1.0570928682228495)","(0.8570739582601946, 1.0320703895756635)","(18162.266623817042, 59792.49020932987)","(22.42870526726411, 49.40619010032313)"
2105,"(110405.45280243001, 143002.79158392473)","(0.14933049670365003, 0.2950163196026744)","(0.8593188510495777, 1.0412228284854763)","(0.8626767110426884, 1.0264782309714897)","(18666.83250725414, 56895.39602908651)","(22.530312540935935, 49.140671390216006)"
2120,"(110554.04000375122, 142967.1926005928)","(0.15273935125996688, 0.2923053785800389)","(0.8630868446848868, 1.0390316265763468)","(0.8631712220838046, 1.0239841591640204)","(19514.84043401784, 52896.382306254345)","(22.50414299824139, 48.91288018984183)"
2135,"(110871.66225768729, 142890.52104263115)","(0.15511882514158779, 0.29063207562245674)","(0.8640002828827507, 1.0378008598636461)","(0.864821849531376, 1.0189641509486924)","(21439.417498951494, 50612.90729039866)","(23.343401548943923, 47.79907841931947)"
2150,"(110777.1934545502, 142547.46179634944)","(0.1562426965731621, 0.2878725608995913)","(0.8639658230467203, 1.0356044795480563)","(0.8665597273581849, 1.017530226218169)","(23986.314855430435, 48356.941400841395)","(23.976937199854508, 47.669856465719086)"
2165,"(111194.68160667432, 141990.95200227888)","(0.15854141102283945, 0.2853683281717727)","(0.8677411178840645, 1.0307006422468936)","(0.871745677251535, 1.011340567646868)","(25837.33829386095, 46915.13890771125)","(25.24787150549738, 46.98947557346538)"
2180,"(112265.90404814956, 141322.22210842447)","(0.1644158280792239, 0.2788645979941972)","(0.8756298305339824, 1.0228438301827398)","(0.8758527672187466, 1.002473116951005)","(28027.529082031335, 44338.28388840697)","(25.28994194512626, 46.7216435561631)"
2195,"(112653.4597683714, 141032.46639938868)","(0.1724310500192583, 0.2674474276417774)","(0.883245435775741, 1.0086887799157656)","(0.8794878264143597, 0.9956544356829643)","(30083.42080056475, 42088.4871781649)","(25.345061812882193, 46.28129188181145)"
2210,"(113044.79562704507, 140734.5530291883)","(0.18393508129879182, 0.2535535494000625)","(0.8918292044502578, 1.0006554488534798)","(0.8839093549038659, 0.9910662609318864)","(30741.599826543395, 41710.41019129218)","(25.582410072540057, 45.96429776237849)"
2225,"(113511.54381229768, 139985.86878531738)","(0.1959126298639015, 0.23882590666573872)","(0.8983172517426031, 0.9973454816820471)","(0.8865946653273047, 0.9859516341386722)","(31451.42973964708, 40791.89836487142)","(25.84012278079241, 45.78886804100378)"
2240,"(113547.21599160375, 139816.4478121138)","(0.20035667036524024, 0.23335337939017992)","(0.8972105012319102, 0.9961937812351441)","(0.8876031922827476, 0.9859699055779578)","(31723.872962095975, 40468.977941719444)","(25.868756511752338, 45.62309743067395)"
2255,"(113721.88234832122, 140008.01564620167)","(0.20365490228564065, 0.2307592166700445)","(0.8990187278834737, 0.9955284999252021)","(0.8885714916747381, 0.9852444984264186)","(32066.104242832072, 40360.4910942598)","(25.944884230513228, 45.50525288405891)"
2270,"(113805.67506949, 139869.87508607967)","(0.20477570666819822, 0.2286927398768572)","(0.8992378798402899, 0.9926367804833323)","(0.8899099303487639, 0.9839453971228911)","(32148.5784810907, 39999.66380865418)","(26.088253748853326, 45.33080813552767)"
2285,"(114120.95248277232, 139955.29798512493)","(0.20552540359098542, 0.22777168135761255)","(0.9020675001202019, 0.9947836908876503)","(0.8881982129095661, 0.980590359857779)","(32295.092277945983, 39793.24006183622)","(26.084753203115937, 45.16901994184974)"
2300,"(114110.11046823251, 139815.72337231963)","(0.2060944855816794, 0.2269514672010509)","(0.9016509763976627, 0.990610868831834)","(0.8914465228966372, 0.9805360142991161)","(32358.84328475662, 39668.452115424596)","(26.23370906230462, 45.10346581612723)"
