LearningPeriod,ΔvmThresh,Δ_%_vmThresh,Δ_fricExp,Δ_%_fricExp,Δ_mu_scale,Δ_%_mu_scale,Δ_stiff_scale,Δ_%_stiff_scale,Δ_gamma0,Δ_%_gamma0,Δ_melt_flux,Δ_%_melt_flux
2015 - 2030,-308.545,3.692,-0.005,3.307,-0.020,13.987,-0.010,8.457,-0.065,2.839,-0.110,0.936
2030 - 2045,-15.534,0.186,-0.008,5.482,-0.005,3.189,-0.005,4.594,-0.211,9.239,-0.191,1.631
2045 - 2060,-122.379,1.464,-0.002,1.180,-0.002,1.250,-0.004,3.212,-0.456,19.984,-0.365,3.111
2060 - 2075,-167.098,1.999,-0.004,2.468,-0.003,2.213,-0.005,4.583,-0.554,24.280,-1.694,14.445
2075 - 2090,-321.917,3.852,-0.002,1.129,-0.005,3.475,-0.006,4.852,-0.041,1.804,-1.216,10.367
2090 - 2105,-538.596,6.444,-0.006,3.841,-0.017,11.836,-0.011,9.736,-0.067,2.923,-0.403,3.436
2105 - 2120,-247.567,2.962,-0.006,4.296,-0.006,4.278,-0.004,3.090,-0.118,5.188,-0.296,2.521
2120 - 2135,-396.591,4.745,-0.004,2.372,-0.003,2.083,-0.006,5.359,-0.122,5.339,-1.962,16.725
2135 - 2150,-293.688,3.514,-0.004,2.665,-0.003,2.038,-0.005,4.203,-0.120,5.248,-0.745,6.350
2150 - 2165,-964.573,11.541,-0.007,4.377,-0.009,6.278,-0.012,10.350,-0.081,3.542,-1.841,15.698
2165 - 2180,-1686.361,20.178,-0.015,9.892,-0.017,11.769,-0.012,10.326,-0.125,5.477,-0.285,2.427
2180 - 2195,-718.861,8.601,-0.019,12.822,-0.022,15.552,-0.012,10.637,-0.163,7.134,-0.513,4.371
2195 - 2210,-616.187,7.373,-0.024,16.175,-0.016,11.318,-0.009,7.483,-0.042,1.830,-0.635,5.412
2210 - 2225,-1071.700,12.823,-0.024,16.127,-0.007,4.805,-0.006,5.345,-0.053,2.312,-0.252,2.147
2225 - 2240,-196.089,2.346,-0.010,6.466,-0.001,0.675,-0.000,0.369,-0.020,0.859,-0.293,2.500
2240 - 2255,-232.935,2.787,-0.006,3.671,-0.003,2.403,-0.004,3.184,-0.017,0.745,-0.273,2.327
2255 - 2270,-208.125,2.490,-0.003,2.007,-0.003,1.795,-0.002,1.519,-0.012,0.530,-0.279,2.379
2270 - 2285,-176.922,2.117,-0.002,1.185,-0.001,0.579,-0.002,1.499,-0.011,0.470,-0.159,1.356
2285 - 2300,-73.955,0.885,-0.001,0.539,-0.001,0.480,-0.001,1.203,-0.006,0.255,-0.218,1.861
2015 - 2300,-8357.621,,-0.151,,-0.142,,-0.116,,-2.281,,-11.730,
