Latest year of calibration,2100,2200,2300
2030,-0.863569701401345,-2.7109641176620514,1.0974547704902875
2045,-0.34946090988781986,-9.72437875398196,-7.073932469191718
2060,-0.16496598671729412,-12.43996335758726,-0.6318647771350356
2075,-0.1429685819415809,-18.122698132969493,-3.032115740260963
2090,-0.04315339596704959,-1.1193228628675023,-0.7906362681774368
2105,-0.14208569712573027,-1.3551667503782596,-5.584264598629453
2120,-0.20327227803379788,-3.0760798690448716,-2.5777055285172423
2135,,-1.696750689245821,-2.2980685543004498
2150,,-0.6610332141406694,-3.0738303549882673
2165,,-0.38375098182013545,-2.271828873963841
2180,,-0.4187536597830448,-7.036864842128047
2195,,-1.2238068007317224,-7.314894729639647
2210,,-2.3195426226169484,-6.481029454020163
2225,,-0.8122268601274971,-9.181517851237459
2240,,,-3.4420953090971658
2255,,,-2.0077693930964173
2270,,,-1.0360147598953144
2285,,,-0.7302932004565434
2300,,,-0.40257427408102586
Total,,,-63.8698462083259
