Latest year of calibration,2100,2200,2300
2015,"(-3.1734652304625013, 2.6448245362287452)","(0.9448356800536026, 66.1709326818602)","(47.87746776796442, 124.54503574065895)"
2030,"(-2.813377751560822, 2.1413423137290812)","(1.0654280226079504, 63.58056090675253)","(47.696382743654596, 125.46140548683942)"
2045,"(-2.630729936551965, 1.9745292188501178)","(3.2833718958671536, 56.074126026029724)","(49.680420730647164, 120.37151100464018)"
2060,"(-2.5425163526774233, 1.897776816007365)","(5.638408476398085, 45.98919924897343)","(50.09832139637056, 120.15754689322863)"
2075,"(-2.551905430434785, 1.745419156308421)","(9.508420980486786, 31.736513620092627)","(49.920497259637514, 116.94760701623458)"
2090,"(-2.5490228100983736, 1.705148380677783)","(9.87973800755038, 30.988507784288732)","(50.136609079077246, 116.37308256749697)"
2105,,"(10.228596821306734, 29.982199847666802)","(50.874039080398155, 111.52624797018838)"
2120,,"(11.151405905293196, 27.82892906260839)","(52.027847340898, 110.10235070217094)"
2135,,"(11.83890321610347, 26.819675684172854)","(52.74160962096901, 108.51804442794153)"
2150,,"(12.37889343413995, 26.69863268806866)","(53.6450557405186, 106.34766019250284)"
2165,,"(12.622976862300167, 26.55896513440874)","(54.24517391506223, 104.67594949308261)"
2180,,"(12.874360585884444, 26.39159519820997)","(57.17755624348358, 100.57146697937593)"
2195,,"(13.48213695191629, 25.775564763510083)","(60.19215637577156, 96.2711723820243)"
2210,,,"(64.05507159473781, 93.6530581469704)"
2225,,,"(68.49493095415836, 88.91139965515346)"
2240,,,"(70.3359454883013, 87.31031888019929)"
2255,,,"(70.97012641245128, 85.93673041125277)"
2270,,,"(71.56312069510186, 85.49370993400804)"
2285,,,"(71.8672618450426, 85.06755788349227)"
2300,,,"(72.05756753228607, 84.8552892966547)"
