Latest year of calibration,2100,2200,2300
2030,0.3674803577332677,7.330488023139608,3.352592953470514
2045,0.24433520624539018,13.044242523896028,9.99371648167339
2060,0.45630554676141855,11.953492738819685,11.04607887718218
2075,0.8697087520251304,5.430331328555132,13.525747812690465
2090,0.9700077037066211,5.050951199766249,13.952426636940972
2105,0.972896297545559,4.514338873355868,13.768177399696496
2120,0.9172321826409293,3.2320993754592435,15.145585799159987
2135,,2.4073302773094487,16.141908434046595
2150,,2.3395951880443415,14.037039431550248
2165,,2.3362071236795137,15.548630618568833
2180,,2.0881320522250975,12.536781178494063
2195,,1.9869181041933655,11.997452405162461
2210,,1.7105298365569757,11.412090002632052
2225,,1.294787032363907,4.677674412852509
2240,,,3.388487287288106
2255,,,2.962990498991149
2270,,,2.8036541189705004
2285,,,2.4958518497777686
2300,,,2.4633992477874944
