Latest year of calibration,2100,2200,2300
2015.0,5.8182897666912465,65.2260970018066,76.66756797269453
2030.0,4.9547200652899015,62.51513288414454,77.76502274318482
2045.0,4.605259155402082,52.79075413016258,70.6910902739931
2060.0,4.4402931686847875,40.35079077257532,70.05922549685806
2075.0,4.297324586743207,22.22809263960583,67.0271097565971
2090.0,4.254171190776157,21.108769776738328,66.23647348841966
2105.0,4.112085493650427,19.753603026360068,60.65220888979021
2120.0,3.908813215616629,16.677523157315196,58.07450336127297
2135.0,3.5932094772221324,14.980772468069375,55.77643480697252
2150.0,3.3541559792781843,14.319739253928706,52.70260445198425
2165.0,3.180817093800201,13.93598827210857,50.43077557802041
2180.0,2.7302122914589235,13.517234612325526,43.39391073589236
2195.0,2.339147618049118,12.293427811593803,36.079016006252715
2210.0,2.218687275081793,9.973885188976855,29.597986552232552
2225.0,2.1447445125456497,9.161658328849358,20.416468700995093
2240.0,2.122949062253399,9.06008521320652,16.974373391897927
2255.0,2.0816632911328146,9.028103420818306,14.96660399880151
2270.0,2.0301515449454683,8.998006560918231,13.930589238906196
2285.0,1.9958744355915043,8.945017461076526,13.200296038449652
2300.0,1.9659065205025323,8.952332490677495,12.797721764368626
