Learning_Period,Δ_2100,Δ_%_2100,Δ_2200,Δ_%_2200,Δ_2300,Δ_%_2300
2015 - 2030,-0.8377813755368324,50.01961410275243,-2.002624953687217,3.7788178856641483,1.3210129551753198,-2.0724634416365904
2030 - 2045,-0.3601775159716798,21.504345743956346,-10.34364246820762,19.517753980750125,-7.581055507023521,11.893494553381444
2045 - 2060,-0.197182020410807,11.772723597047788,-12.471266475964278,23.532436629978225,-0.5532567090347555,0.8679735492545037
2060 - 2075,-0.200712350666862,11.983501446996993,-17.48852609282243,32.9996662988667,-2.723101979406536,4.272122599599557
2075 - 2090,-0.07905245303134834,4.719815109246437,-1.039696930801373,1.9618378121917572,-0.9919675573784161,1.5562424955048786
2090 - 2105,,,-1.3647961275913403,2.575278015852003,-4.9511744878245025,7.767621111496391
2105 - 2120,,,-3.1319978818018406,5.909868241591646,-2.930644602260436,4.597724628528179
2120 - 2135,,,-1.8029234837416546,3.401994714139054,-1.8378062158567516,2.8832315233957067
2135 - 2150,,,-0.7693176533902957,1.4516503966635748,-3.365496356116516,5.2799392569825025
2150 - 2165,,,-0.3454947838940523,0.6519252975344807,-2.869956145969063,4.502513899140185
2165 - 2180,,,-0.7905510980188541,1.4917164710370732,-7.58876411953252,11.905588164990668
2180 - 2195,,,-1.4452315691912219,2.7270542557312147,-7.590355341295528,11.908084543938694
2195 - 2210,,,,,-5.9374287210093115,9.31490029178541
2210 - 2225,,,,,-8.615112303780595,13.515768505698933
2225 - 2240,,,,,-3.3966006426673516,5.328737034856104
2240 - 2255,,,,,-1.9653863104061635,3.083384807887231
2255 - 2270,,,,,-0.9836058574247399,1.5431242914811878
2270 - 2285,,,,,-0.7325017210501077,1.1491810370707207
2285 - 2300,,,,,-0.44799296883357975,0.7028311466442917
2015 - 2300,-1.6749057156175295,,-52.996069519112176,,-63.74119459169508,
