Learning_Period,Δ_2100,Δ_%_2100,Δ_2200,Δ_%_2200,Δ_2300,Δ_%_2300
2030 - 2045,-0.1887330297964649,-11.792055468263898,10.951323607662879,-109.76323562189165,13.130596134759102,962.5244110385419
2045 - 2060,0.48107940519486325,30.05788142549857,0.07207613475515018,-0.7224067195228391,-1.4564870227073854,-106.76623508399645
2060 - 2075,1.0853576882343372,67.81323903064744,-10.665453377517693,106.89800740356428,7.292698041117866,534.5834884318206
2075 - 2090,0.2228059602931558,13.920935012117889,-0.918389736524853,9.204862595090212,3.30165332984474,242.0241925155024
2090 - 2105,-2.2922358100077425,-143.2190849005192,-1.589639318169434,15.932681864314974,-0.37329503783058016,-27.363996481495718
2105 - 2120,0.0,0.0,-3.753588907049311,37.621576933758284,3.006657218580372,220.39981572869743
2120 - 2135,0.0,0.0,-1.9456366740713804,19.500782219718026,2.5686883256802417,188.29497095504968
2135 - 2150,0.0,0.0,-0.8287230137053854,8.306148432594885,-3.1260866474408147,-229.15446323249685
2150 - 2165,0.0,0.0,-0.1586664105253064,1.5902861816249156,1.116106325043397,81.8149893686069
2165 - 2180,0.0,0.0,-0.56559133015908,5.66882476146634,-2.692484950143509,-197.36975109657234
2180 - 2195,0.0,0.0,-0.5749347196183336,5.762471949282574,-2.5589716869592145,-187.582703068181
2195 - 2210,0.0,0.0,-2.758448114884464,27.64745169003747,-2.2064132141865365,-161.7387784756137
2210 - 2225,0.0,0.0,0.0,-0.0,-13.097738294100733,-960.1158019089095
2225 - 2240,0.0,0.0,0.0,-0.0,-2.261672799993173,-165.78952375304755
2240 - 2255,0.0,0.0,0.0,-0.0,-0.6551982934653058,-48.02861538492677
2255 - 2270,0.0,0.0,0.0,-0.0,-0.21469793438508233,-15.73820417019354
2270 - 2285,0.0,0.0,0.0,-0.0,-0.05292833068477876,-3.8798550954407602
2285 - 2300,0.0,0.0,0.0,-0.0,-0.35624198146867414,-26.11394028734473
2030 - 2300,1.6005100239258914,,-9.977223744922748,,1.3641831816599321,
