Latest year of calibration,2100,2200,2300
2015,"(-3.173, 2.645)","(0.945, 66.171)","(47.877, 124.545)"
2030,"(-2.766, 2.214)","(1.233, 64.456)","(47.595, 125.584)"
2045,"(-2.582, 2.039)","(3.433, 56.313)","(49.617, 120.024)"
2060,"(-2.435, 1.988)","(6.866, 47.274)","(50.159, 120.013)"
2075,"(-2.379, 1.843)","(12.098, 35.018)","(50.367, 117.498)"
2090,"(-2.350, 1.793)","(12.633, 34.513)","(50.802, 116.941)"
2105,,"(12.974, 33.489)","(51.438, 112.626)"
2120,,"(14.055, 31.439)","(52.600, 110.858)"
2135,,"(14.747, 30.328)","(53.371, 109.791)"
2150,,"(15.264, 30.076)","(54.052, 107.107)"
2165,,"(15.605, 30.071)","(55.128, 105.313)"
2180,,"(16.097, 29.773)","(58.818, 101.414)"
2195,,"(16.812, 29.042)","(61.826, 96.831)"
2210,,,"(65.215, 94.283)"
2225,,,"(69.510, 89.963)"
2240,,,"(71.338, 88.394)"
2255,,,"(72.040, 87.131)"
2270,,,"(72.576, 86.683)"
2285,,,"(72.983, 86.357)"
2300,,,"(73.187, 86.114)"
