Latest year of calibration,2100,2200,2300
2015.0,5.818,65.226,76.668
2030.0,4.981,63.223,77.989
2045.0,4.620,52.880,70.408
2060.0,4.423,40.409,69.854
2075.0,4.222,22.920,67.131
2090.0,4.143,21.880,66.139
2105.0,,20.516,61.188
2120.0,,17.384,58.257
2135.0,,15.581,56.420
2150.0,,14.811,53.054
2165.0,,14.466,50.184
2180.0,,13.675,42.595
2195.0,,12.230,35.005
2210.0,,,29.068
2225.0,,,20.452
2240.0,,,17.056
2255.0,,,15.090
2270.0,,,14.107
2285.0,,,13.374
2300.0,,,12.926
total_%_decrease,28.787,81.250,82.555
