Latest year of calibration,2100,2200,2300
2030,0.42817286069484617,7.551481199428266,3.373259420932205
2045,0.2816905290924173,13.723637619839659,10.503191093176556
2060,0.536669198284218,12.042640364304399,11.053007449921232
2075,0.9669063962504142,5.983939617514102,13.737985747445515
2090,1.0322852326789378,6.093839902696898,13.880535116301456
2105,,5.36544021295075,14.610016323726967
2120,,4.274898357151623,16.1350445846152
2135,,3.420368061579009,17.831982415258793
2150,,3.1394276325356976,16.507395118962563
2165,,3.2359382246196757,17.214269533452477
2180,,2.5434725384602856,13.690851414775304
2195,,2.2514534630960936,12.946518042238495
2210,,,11.908604529700973
2225,,,5.190545383466807
2240,,,3.584069989142514
2255,,,3.1086060429705493
2270,,,2.944081882015169
2285,,,2.6474698839492987
2300,,,2.592252849537922
