Latest year of calibration,2100,2200,2300
2045,-0.12314515148787752,5.713754500756419,6.6411235282028755
2060,0.21197034051602837,-1.0907497850763423,1.0523623955087906
2075,0.4134032052637119,-6.523161410264553,2.4796689355082844
2090,0.10029895168149072,-0.37938012878888294,0.42667882425050685
2105,,-0.5366123264103813,-0.18424923724447595
2120,,-1.2822394978966245,1.3774083994634907
2135,,-0.8247690981497948,0.9963226348866083
2150,,-0.06773508926510718,-2.104869002496347
2165,,-0.0033880643648278586,1.5115911870185847
2180,,-0.2480750714544162,-3.0118494400747693
2195,,-0.101213948031732,-0.5393287733316026
2210,,,-0.5853624025304089
2225,,,-6.734415589779543
2240,,,-1.289187125564403
2255,,,-0.42549678829695736
2270,,,-0.15933638002064843
2285,,,-0.3078022691927318
2300,,,-0.03245260199027422
Total,,,-0.8891937056830197
