Latest year of calibration,2100,2200,2300
2015,5.8182897666912465,65.2260970018066,76.66756797269453
2030,4.9547200652899015,62.51513288414454,77.76502274318482
2045,4.605259155402082,52.79075413016258,70.6910902739931
2060,4.4402931686847875,40.35079077257532,70.05922549685806
2075,4.297324586743207,22.22809263960583,67.0271097565971
2090,4.254171190776157,21.108769776738328,66.23647348841966
2105,,19.753603026360068,60.65220888979021
2120,,16.677523157315196,58.07450336127297
2135,,14.980772468069375,55.77643480697252
2150,,14.319739253928706,52.70260445198425
2165,,13.93598827210857,50.43077557802041
2180,,13.517234612325526,43.39391073589236
2195,,12.293427811593803,36.079016006252715
2210,,,29.597986552232552
2225,,,20.416468700995093
2240,,,16.974373391897927
2255,,,14.96660399880151
2270,,,13.930589238906196
2285,,,13.200296038449652
2300,,,12.797721764368626
