Learning_Period,Δ_2100,Δ_%_2100,Δ_2200,Δ_%_2200,Δ_2300,Δ_%_2300
2015 - 2030,-1.1979588915085104,66.80375261144053,-12.346267421894844,22.36360165761377,-6.260042551848173,9.821031111744809
2030 - 2045,-0.19718202041080968,10.995785418279661,-12.47126647596427,22.59002061949611,-0.553256709034784,0.8679735492545483
2045 - 2060,-0.2007123506668611,11.19265303263074,-17.48852609282243,31.678111104662943,-2.7231019794065503,4.272122599599579
2060 - 2075,-0.07905245303134656,4.408331999592726,-1.0396969308013695,1.8832710495037173,-0.9919675573783735,1.5562424955048118
2075 - 2090,-0.11834517924814936,6.599476938056342,-1.3647961275913403,2.472144486938565,-4.951174487824545,7.7676211114964575
2090 - 2105,0.0,0.0,-3.131997881801844,5.673192603692747,-2.930644602260429,4.597724628528168
2105 - 2120,0.0,-0.0,-1.8029234837416581,3.265753221743163,-1.8378062158567303,2.883231523395673
2120 - 2135,0.0,-0.0,-0.7693176533902868,1.3935153808575174,-3.365496356116502,5.27993925698248
2135 - 2150,0.0,-0.0,-0.3454947838940612,0.6258172982781797,-2.8699561459691054,4.5025138991402525
2150 - 2165,0.0,-0.0,-0.7905510980188559,1.4319769078328857,-7.58876411953252,11.905588164990668
2165 - 2180,0.0,-0.0,-1.44523156919122,2.6178424629846644,-7.590355341295506,11.90808454393866
2180 - 2195,0.0,-0.0,-2.2109030022013147,4.004753206395735,-5.9374287210093115,9.31490029178541
2195 - 2210,0.0,-0.0,0.0,0.0,-8.615112303780602,13.515768505698944
2210 - 2225,0.0,-0.0,0.0,-0.0,-3.3966006426673516,5.328737034856104
2225 - 2240,0.0,-0.0,0.0,-0.0,-1.9653863104061635,3.083384807887231
2240 - 2255,0.0,-0.0,0.0,-0.0,-0.983605857424747,1.5431242914811991
2255 - 2270,0.0,-0.0,0.0,-0.0,-0.732501721050097,1.149181037070704
2270 - 2285,0.0,-0.0,0.0,-0.0,-0.44799296883358686,0.7028311466443028
2285 - 2300,0.0,-0.0,0.0,-0.0,0.0,0.0
Total learning,-1.7932508948656771,,-55.206972521313496,,-63.74119459169508,
