Learning_Period,Δ_2100,Δ_%_2100,Δ_2200,Δ_%_2200,Δ_2300,Δ_%_2300
2030 - 2045,0.48107940519486325,25.435098550001626,0.07207613475515018,-0.3336962619787499,-1.4564870227073854,12.378343582814331
2045 - 2060,1.0853576882343372,57.38383199143665,-10.665453377517693,49.37864574004474,7.292698041117866,-61.9789401424759
2060 - 2075,0.2228059602931558,11.779950453893756,-0.918389736524853,4.251937526326551,3.30165332984474,-28.059981771888374
2075 - 2090,0.10215675449593142,5.401119004667968,-1.589639318169434,7.359671827153372,-0.37329503783058016,3.1725474817051826
2090 - 2105,0.0,0.0,-3.753588907049311,17.37827079021819,3.006657218580372,-25.552878609350905
2105 - 2120,0.0,0.0,-1.9456366740713804,9.007859363046586,2.5686883256802417,-21.83068311403835
2120 - 2135,0.0,0.0,-0.8287230137053854,3.836800805546682,-3.1260866474408147,26.56788147671998
2135 - 2150,0.0,0.0,-0.1586664105253064,0.7345897261797498,1.116106325043397,-9.485527403229751
2150 - 2165,0.0,0.0,-0.56559133015908,2.6185604059211562,-2.692484950143509,22.882801758494566
2165 - 2180,0.0,0.0,-0.5749347196183336,2.66181819363905,-2.5589716869592145,21.74810366727103
2180 - 2195,0.0,0.0,-0.6707760344231435,3.105541883902676,-2.2064132141865365,18.751791416647386
2195 - 2210,0.0,0.0,0.0,0.0,-13.097738294100733,111.31462363515725
2210 - 2225,0.0,0.0,0.0,-0.0,-2.261672799993173,19.221429751005537
2225 - 2240,0.0,0.0,0.0,-0.0,-0.6551982934653058,5.568377517234191
2240 - 2255,0.0,0.0,0.0,-0.0,-0.21469793438508233,1.824667681143494
2255 - 2270,0.0,0.0,0.0,-0.0,-0.05292833068477876,0.4498255406788005
2270 - 2285,0.0,0.0,0.0,-0.0,-0.35624198146867414,3.027617532111544
2285 - 2300,0.0,0.0,0.0,-0.0,0.0,0.0
Total learning,1.8913998082182877,,-21.59932338700877,,-11.76641295309917,
