Learning_Period,Δ_2100,Δ_2200,Δ_2300
2030 - 2045,-0.1887330297964649,10.951323607662879,13.130596134759102
2045 - 2060,0.48107940519486325,0.07207613475515018,-1.4564870227073854
2060 - 2075,1.0853576882343372,-10.665453377517693,7.292698041117866
2075 - 2090,0.2228059602931558,-0.918389736524853,3.30165332984474
2090 - 2105,,-1.589639318169434,-0.37329503783058016
2105 - 2120,,-3.753588907049311,3.006657218580372
2120 - 2135,,-1.9456366740713804,2.5686883256802417
2135 - 2150,,-0.8287230137053854,-3.1260866474408147
2150 - 2165,,-0.1586664105253064,1.116106325043397
2165 - 2180,,-0.56559133015908,-2.692484950143509
2180 - 2195,,-0.5749347196183336,-2.5589716869592145
2195 - 2210,,,-2.2064132141865365
2210 - 2225,,,-13.097738294100733
2225 - 2240,,,-2.261672799993173
2240 - 2255,,,-0.6551982934653058
2255 - 2270,,,-0.21469793438508233
2270 - 2285,,,-0.05292833068477876
2285 - 2300,,,-0.35624198146867414
Total learning,1.6005100239258914,-9.977223744922748,1.7204251631286063
