Learning_Period,Δ_2100,Δ_%_2100,Δ_2200,Δ_%_2200,Δ_2300,Δ_%_2300
2015 - 2030,-0.8377813755368315,50.01961410275243,-2.0026249536872385,3.7788178856641887,1.3210129551753198,-2.0871324586275475
2030 - 2045,-0.3601775159716789,21.504345743956314,-10.343642468207605,19.517753980750093,-7.581055507023493,11.97767740079879
2045 - 2060,-0.19718202041080968,11.77272359704796,-12.47126647596427,23.532436629978207,-0.553256709034784,0.8741171166082201
2060 - 2075,-0.2007123506668611,11.983501446996952,-17.48852609282243,32.9996662988667,-2.7231019794065503,4.302360932272649
2075 - 2090,-0.07905245303134656,4.719815109246337,-1.0396969308013695,1.9618378121917504,-0.9919675573783735,1.5672576705616912
2090 - 2105,,,-1.3647961275913403,2.5752780158520028,-4.951174487824545,7.822600786300218
2105 - 2120,,,-3.131997881801844,5.909868241591651,-2.930644602260429,4.630267591333034
2120 - 2135,,,-1.8029234837416581,3.40199471413906,-1.8378062158567303,2.903639204108321
2135 - 2150,,,-0.7693176533902868,1.4516503966635577,-3.365496356116502,5.317310974676443
2150 - 2165,,,-0.3454947838940612,0.6519252975344973,-2.8699561459691054,4.534382954855104
2165 - 2180,,,-0.7905510980188559,1.4917164710370765,-7.58876411953252,11.989856611695656
2180 - 2195,,,-1.44523156919122,2.7270542557312116,-7.590355341295506,11.992370660159292
2195 - 2210,,,,,-5.9374287210093115,9.38083169877871
2210 - 2225,,,,,-8.615112303780602,13.611433902671823
2225 - 2240,,,,,-3.3966006426673516,5.366454146065034
2240 - 2255,,,,,-1.9653863104061635,3.1052091852093424
2255 - 2270,,,,,-0.983605857424747,1.554046615125674
2270 - 2285,,,,,-0.732501721050097,1.1573150074075533
2285 - 2300,,,,,-0.44799296883358686,0.707805826450359
Total learning,-1.6749057156175278,,-52.99606951911218,,-63.29320162286149,
